,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Present_Age_CST,Customer_Since_year,AcceptedCmp
167,Graduation,Divorced,52332.0,0,0,63,212.0,5.0,33,7,0,2,1,3,2,6,4,0,0,65,11,1
168,Graduation,Single,66951.0,0,0,46,277.0,81.0,305,173,76,124,1,3,4,7,1,0,0,36,11,0
169,Graduation,Together,26091.0,1,1,84,15.0,10.0,19,8,17,20,3,2,1,3,5,0,0,67,10,0
170,Graduation,Together,33456.0,1,1,58,7.0,3.0,10,8,1,7,2,1,0,3,7,0,0,59,10,0
171,Graduation,Married,28718.0,1,0,78,12.0,4.0,6,11,8,16,2,2,0,3,8,0,0,42,11,0
172,Graduation,Married,50447.0,2,0,4,85.0,7.0,24,2,3,27,1,3,1,3,6,0,0,54,10,0
173,PhD,Together,53537.0,1,1,17,81.0,0.0,6,0,0,6,2,2,1,3,5,0,0,65,10,0
174,Graduation,Single,52074.0,0,1,77,59.0,0.0,12,0,0,48,1,2,2,2,4,0,0,57,10,1
175,PhD,Married,80427.0,0,1,56,1149.0,71.0,449,69,71,26,1,11,8,8,5,0,0,49,12,0
176,PhD,Married,83837.0,0,0,79,847.0,66.0,119,86,89,111,1,9,10,5,4,0,1,76,12,2
177,PhD,Married,38853.0,1,1,90,29.0,0.0,14,0,0,2,2,2,0,3,7,0,0,54,10,0
178,Graduation,Together,38285.0,2,1,96,2.0,0.0,5,2,0,1,1,0,0,3,2,0,0,65,10,0
179,2n Cycle,Married,78497.0,0,0,44,207.0,26.0,447,75,0,223,1,5,7,12,2,0,0,73,11,1
180,PhD,Married,51650.0,0,1,81,152.0,3.0,22,2,5,7,1,4,1,4,5,0,0,48,10,0
181,2n Cycle,Married,16248.0,1,0,77,12.0,11.0,10,3,12,9,3,2,1,3,6,0,0,36,10,0
182,Master,Married,66835.0,0,0,21,620.0,26.0,195,34,17,141,1,6,4,13,2,0,0,78,11,0
183,Master,Married,30477.0,1,0,16,47.0,1.0,6,0,0,12,1,1,1,3,6,0,0,40,10,0
184,Basic,Married,28249.0,0,0,80,1.0,9.0,7,2,14,10,1,2,0,3,6,0,0,63,10,0
185,Graduation,Married,25271.0,1,0,45,10.0,1.0,18,10,4,7,1,1,1,2,9,0,0,41,12,0
186,PhD,Single,32303.0,0,1,63,35.0,0.0,2,0,0,2,2,1,0,4,5,0,0,54,10,0
187,Graduation,Married,61286.0,0,1,34,356.0,0.0,107,19,9,117,2,7,1,8,5,0,0,58,11,0
188,Graduation,Married,74068.0,0,0,14,783.0,30.0,537,140,76,15,1,4,10,9,2,0,0,48,11,0
189,PhD,Married,45759.0,1,1,13,42.0,1.0,18,3,0,4,2,2,0,3,7,0,0,60,11,0
190,Basic,Together,24882.0,1,0,52,1.0,4.0,10,29,0,36,1,1,1,2,6,0,0,46,12,1
191,PhD,Together,66973.0,0,0,98,466.0,22.0,432,147,113,102,1,8,7,12,3,0,0,35,11,0
192,2n Cycle,Divorced,36640.0,1,0,99,15.0,6.0,8,7,4,25,1,2,1,2,5,1,0,124,11,0
193,Graduation,Married,38872.0,1,0,93,23.0,3.0,21,3,19,22,2,3,0,3,8,0,0,36,11,0
194,Graduation,Married,51148.0,1,1,38,235.0,6.0,45,8,9,12,4,5,1,6,6,0,0,51,11,0
195,Graduation,Married,31353.0,1,1,24,10.0,0.0,10,3,1,7,2,1,1,2,8,0,0,47,11,0
196,Master,Married,69661.0,0,0,80,656.0,16.0,106,32,16,8,1,7,3,12,3,0,0,44,10,0
197,Graduation,Married,80067.0,0,0,82,519.0,17.0,813,27,173,51,1,4,6,6,2,0,0,70,11,1
198,Graduation,Married,86718.0,0,0,20,344.0,81.0,482,50,33,172,1,5,6,5,2,0,0,70,11,0
199,PhD,Single,46854.0,1,1,81,96.0,1.0,79,7,1,79,6,5,1,3,8,0,1,51,10,1
200,Graduation,Divorced,69142.0,0,1,50,448.0,4.0,34,6,4,39,3,8,1,7,5,0,0,72,10,1
201,Graduation,Single,75922.0,0,0,60,265.0,81.0,553,224,23,92,1,4,4,9,1,0,0,56,11,0
202,Graduation,Divorced,63693.0,0,1,63,587.0,43.0,337,42,87,54,3,11,6,9,6,0,0,46,11,0
203,PhD,Together,102160.0,0,0,54,763.0,29.0,138,76,176,58,0,7,9,10,4,0,1,47,12,3
204,PhD,Single,40637.0,1,1,72,22.0,0.0,13,0,0,3,2,1,0,3,7,0,0,59,11,0
205,Master,Single,18890.0,0,0,5,6.0,4.0,1,7,2,15,1,0,1,2,6,0,1,40,12,1
206,Graduation,Together,29604.0,1,0,88,7.0,6.0,13,7,6,14,1,1,0,3,9,0,0,36,11,1
207,Master,Divorced,48721.0,1,1,50,81.0,18.0,113,47,13,21,6,4,2,5,6,0,0,61,11,0
208,Graduation,Married,44794.0,0,1,99,54.0,0.0,7,0,0,4,1,2,0,3,6,0,0,58,10,0
209,Graduation,Divorced,64497.0,0,1,17,1170.0,48.0,320,42,32,192,5,11,4,9,8,0,1,70,12,1
210,Graduation,Together,46097.0,0,1,11,72.0,24.0,68,65,4,8,5,3,1,6,4,0,0,68,11,0
211,Graduation,Together,77972.0,0,0,18,613.0,22.0,319,33,102,12,1,4,6,9,1,0,0,70,10,0
212,PhD,Married,44377.0,1,1,70,224.0,0.0,30,0,0,10,8,5,1,5,8,0,0,56,12,0
213,Master,Together,46014.0,1,1,21,410.0,0.0,59,19,9,44,10,7,1,8,7,0,0,50,11,0
214,Graduation,Married,70951.0,0,0,66,239.0,10.0,554,254,87,54,1,3,4,9,1,0,0,39,11,0
215,Graduation,Married,41443.0,1,0,79,171.0,7.0,171,25,19,89,6,8,1,5,8,0,0,47,10,0
216,2n Cycle,Single,52195.0,2,1,2,12.0,0.0,4,0,0,1,1,1,0,2,8,0,0,46,10,0
217,Master,Married,83790.0,0,0,81,1076.0,16.0,417,42,48,16,1,8,10,6,3,0,0,76,11,2
218,Master,Widow,44551.0,0,1,24,182.0,4.0,33,0,0,66,2,4,1,5,7,0,0,70,11,0
219,Graduation,Together,69508.0,1,0,48,824.0,32.0,162,42,32,43,2,11,4,11,6,0,0,44,12,0
220,2n Cycle,Together,45204.0,1,0,93,30.0,11.0,25,29,1,18,1,1,1,4,3,0,0,36,10,0
221,Graduation,Married,72460.0,0,0,56,377.0,10.0,540,80,30,10,1,3,5,7,1,0,0,55,11,0
222,PhD,Together,77622.0,0,2,3,520.0,7.0,154,19,0,14,2,6,3,11,3,0,0,54,10,0
223,PhD,Married,30732.0,1,0,44,155.0,1.0,25,0,1,3,4,4,1,4,8,0,0,44,11,0
224,Graduation,Divorced,63887.0,0,1,38,897.0,23.0,207,15,11,92,5,9,6,12,6,0,0,62,12,0
225,Graduation,Together,42011.0,1,0,46,131.0,0.0,16,2,1,39,4,3,1,4,8,0,0,46,11,0
226,Graduation,Together,51369.0,0,1,84,297.0,7.0,79,0,11,182,2,8,2,4,8,0,0,48,12,0
227,Graduation,Divorced,51537.0,0,1,27,787.0,20.0,204,0,0,92,3,2,2,11,8,0,0,72,12,0
228,PhD,Married,79930.0,0,0,72,792.0,81.0,740,67,51,17,1,3,5,8,2,0,0,52,12,0
229,PhD,Together,34320.0,1,0,66,4.0,1.0,9,3,0,0,1,1,0,2,8,0,0,38,10,0
230,Graduation,Single,37070.0,1,1,30,231.0,7.0,137,4,15,39,9,5,1,8,7,0,1,58,11,0
231,2n Cycle,Divorced,81975.0,0,1,2,983.0,76.0,184,180,138,27,1,6,3,4,7,0,0,62,11,1
232,Graduation,Together,38590.0,1,0,65,3.0,1.0,8,4,3,3,1,1,0,2,8,0,0,53,11,0
233,Graduation,Single,15033.0,0,0,37,0.0,4.0,5,6,0,4,1,1,0,3,3,0,0,73,10,0
234,PhD,Married,62745.0,0,1,89,562.0,21.0,464,28,10,32,3,7,8,11,5,0,0,59,11,0
235,2n Cycle,Married,22212.0,1,0,49,5.0,9.0,20,6,8,21,2,2,0,4,6,0,0,49,11,0
236,Master,Together,23661.0,1,0,46,18.0,0.0,4,0,0,1,1,1,0,3,7,0,0,42,11,0
237,PhD,Single,79761.0,0,1,32,415.0,5.0,124,15,35,11,1,5,2,11,3,0,0,66,11,0
238,Graduation,Single,7500.0,1,0,54,5.0,3.0,10,12,7,20,4,3,1,3,7,0,0,51,11,0
239,2n Cycle,Single,60182.0,0,1,23,8.0,0.0,5,7,0,2,1,1,0,2,4,0,0,131,10,0
