Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Present_Age_CST,Customer_Since_year,AcceptedCmp
PhD,Widow,67680.0,0,1,8,546.0,0.0,48,0,6,6,1,7,3,8,5,0,0,73,11,0
Master,Divorced,55282.0,1,0,9,125.0,6.0,73,8,4,19,1,3,1,6,4,0,0,54,11,0
2n Cycle,Married,51381.5,1,0,25,25.0,3.0,43,17,4,17,3,3,0,3,8,0,0,51,12,0
Basic,Single,8940.0,1,0,25,1.0,45.0,3,4,6,42,3,3,1,3,8,0,0,38,12,0
PhD,Married,65352.0,0,1,43,284.0,3.0,84,4,7,23,2,4,2,8,4,0,0,50,11,0
PhD,Married,57236.0,1,1,22,105.0,0.0,9,2,1,4,3,2,1,4,3,0,0,59,10,0
Graduation,Married,51948.0,0,1,51,82.0,33.0,54,71,30,41,2,5,2,4,5,0,0,49,11,0
2n Cycle,Together,60839.0,1,1,72,600.0,21.0,128,223,150,128,13,2,2,12,8,0,0,45,12,0
PhD,Married,86836.0,0,0,7,179.0,21.0,273,0,21,63,1,6,10,6,5,0,1,49,12,3
PhD,Married,40233.0,0,1,84,80.0,4.0,46,0,17,2,5,2,1,5,6,0,0,49,11,0
Graduation,Together,22682.0,1,0,51,10.0,14.0,29,4,2,36,3,2,1,4,4,0,0,51,11,0
Graduation,Together,28427.0,1,0,67,18.0,3.0,19,3,3,6,2,2,0,3,8,0,0,41,11,0
Graduation,Together,54591.0,0,1,63,376.0,4.0,94,12,9,24,3,6,2,8,5,0,0,75,11,0
Graduation,Single,20587.0,1,0,39,2.0,3.0,6,4,1,9,1,1,1,2,7,0,0,54,10,0
Graduation,Together,45203.0,2,0,4,35.0,3.0,67,10,8,24,1,3,1,3,6,0,1,42,10,0
2n Cycle,Widow,47682.0,0,1,80,162.0,61.0,83,97,57,61,4,4,3,8,5,0,0,49,11,0
2n Cycle,Together,92556.0,0,0,32,493.0,81.0,352,184,23,28,0,3,5,13,0,0,0,64,10,0
Graduation,Married,63943.0,0,1,50,423.0,81.0,368,13,97,21,1,6,4,6,5,0,0,68,12,0
Master,Single,18890.0,0,0,5,6.0,4.0,1,7,2,15,1,0,1,2,6,0,1,40,12,1
PhD,Married,81051.0,0,0,43,1142.0,29.0,249,38,29,14,1,5,5,12,2,0,0,59,10,2
Graduation,Single,46998.0,0,1,55,172.0,41.0,86,45,6,27,5,5,3,5,7,0,0,68,12,1
Graduation,Together,71853.0,0,0,29,358.0,81.0,413,141,97,32,1,2,8,6,1,0,0,42,11,0
PhD,Single,38513.0,1,0,20,172.0,3.0,115,16,0,18,5,6,1,5,8,0,1,42,10,0
Master,Together,49912.0,0,1,5,520.0,8.0,223,32,49,42,4,10,5,7,8,0,1,75,12,1
Graduation,Together,44911.0,0,1,11,159.0,0.0,22,2,1,31,3,4,1,4,7,0,0,65,11,0
Graduation,Single,72354.0,0,0,67,315.0,26.0,473,220,12,182,1,2,10,6,1,0,0,31,11,0
Graduation,Married,56181.0,0,1,6,121.0,81.0,69,8,44,48,1,4,2,7,4,0,0,62,11,0
PhD,Married,65324.0,0,1,0,384.0,0.0,102,21,32,5,3,6,2,9,4,0,0,70,10,0
Graduation,Married,25293.0,1,0,51,15.0,0.0,11,0,2,9,1,1,1,2,8,0,0,55,11,0
Graduation,Married,75433.0,1,0,28,800.0,0.0,297,0,34,57,2,2,5,10,6,0,0,35,10,2
Master,Widow,47570.0,1,1,3,67.0,1.0,20,0,2,31,3,2,2,2,7,0,1,75,11,0
PhD,Married,69084.0,1,0,43,1181.0,81.0,199,39,30,30,2,7,3,13,8,0,0,54,11,0
PhD,Single,39684.0,1,0,41,19.0,0.0,35,6,4,17,2,2,1,2,7,1,1,40,12,0
Graduation,Married,86718.0,0,0,20,344.0,81.0,482,50,33,172,1,5,6,5,2,0,0,70,11,0
2n Cycle,Single,79689.0,0,0,65,311.0,26.0,640,180,37,121,1,4,9,13,2,0,0,48,11,0
Master,Married,64100.0,0,1,93,509.0,0.0,27,0,0,10,1,8,3,6,7,0,0,60,11,1
Graduation,Together,54058.0,0,1,56,198.0,18.0,252,32,108,54,2,4,6,8,3,0,0,48,11,0
PhD,Married,55954.0,0,1,63,447.0,0.0,28,0,0,43,3,8,2,6,7,0,0,56,10,0
PhD,Widow,68117.0,0,1,80,618.0,44.0,215,0,17,36,2,11,8,4,6,0,1,77,11,1
Master,Married,60432.0,0,1,61,365.0,3.0,15,4,3,11,5,7,2,5,6,0,0,51,10,0
PhD,Single,51141.0,0,0,96,144.0,0.0,7,0,0,6,1,3,1,4,5,0,0,84,11,0
Graduation,Married,23228.0,1,0,91,53.0,3.0,49,7,4,5,4,3,0,4,8,0,0,40,10,0
PhD,Together,37334.0,1,1,44,26.0,1.0,16,2,2,15,4,3,0,4,4,0,0,66,10,0
PhD,Together,63342.0,0,1,48,918.0,21.0,118,13,10,21,3,8,3,5,6,0,0,63,12,1
Graduation,Married,55357.0,2,0,66,374.0,64.0,116,84,25,64,3,6,2,11,5,0,0,39,11,0
Graduation,Divorced,31859.0,1,0,77,3.0,1.0,3,8,0,5,1,1,0,2,7,0,0,48,11,0
Graduation,Together,71853.0,0,0,29,358.0,81.0,413,141,97,32,1,2,8,6,1,0,0,42,11,0
PhD,Divorced,85696.0,0,0,88,714.0,76.0,395,116,0,12,1,4,6,9,1,0,1,62,11,0
Master,Married,81843.0,0,0,13,779.0,81.0,537,34,69,138,1,5,9,12,3,0,0,64,11,0
Graduation,Married,37040.0,0,0,41,86.0,2.0,73,69,38,48,1,4,2,5,8,0,0,42,12,0
Graduation,Married,15072.0,2,0,96,8.0,2.0,15,0,10,18,4,3,1,3,5,0,0,44,11,0
Graduation,Married,19986.0,1,0,74,3.0,6.0,5,0,2,6,1,0,0,3,7,0,0,39,11,0
PhD,Together,57906.0,0,1,29,243.0,11.0,119,10,3,15,3,4,2,8,4,0,0,51,11,0
Graduation,Single,81741.0,0,0,75,249.0,81.0,940,58,134,38,0,6,6,7,2,0,0,44,11,0
Master,Together,38620.0,0,0,56,112.0,17.0,44,34,22,89,1,2,5,3,3,0,0,61,11,0
Graduation,Together,94384.0,0,0,62,1111.0,24.0,790,160,45,172,0,5,8,5,2,0,1,71,11,3
Master,Together,30538.0,1,0,27,284.0,0.0,52,8,3,20,4,9,0,4,10,0,0,53,12,0
Graduation,Together,54450.0,1,1,0,454.0,0.0,171,8,19,32,12,9,2,8,8,0,0,68,12,0
Graduation,Single,69267.0,0,0,31,778.0,44.0,499,95,73,146,2,3,4,5,7,0,1,71,12,0
Graduation,Married,35701.0,0,0,36,21.0,1.0,9,7,3,5,1,1,0,3,6,0,0,65,11,0
Graduation,Together,13672.0,1,1,86,6.0,2.0,9,2,1,5,2,1,0,3,8,0,0,64,11,0
Graduation,Together,85606.0,0,1,89,717.0,42.0,864,219,30,84,2,6,7,9,3,0,0,48,12,1
Graduation,Single,70337.0,0,0,75,187.0,81.0,149,25,43,91,1,2,2,12,1,0,0,45,10,0
PhD,Married,38829.0,0,1,86,76.0,0.0,7,0,0,16,1,3,2,2,5,0,0,65,10,0
Graduation,Together,43462.0,1,1,50,90.0,17.0,97,15,6,15,6,4,1,5,8,0,0,72,12,0
Graduation,Married,61314.0,0,1,1,378.0,0.0,189,97,172,172,2,5,5,12,3,0,0,56,11,0
Graduation,Single,60474.0,0,1,25,265.0,81.0,303,234,9,170,7,10,2,12,7,0,0,45,11,0
Graduation,Married,62710.0,0,1,53,441.0,35.0,83,7,29,11,4,4,2,12,4,0,0,52,11,0
Graduation,Married,50300.0,0,1,52,143.0,15.0,60,24,23,5,2,2,1,8,2,0,0,72,10,0
2n Cycle,Together,26326.0,0,0,12,1.0,0.0,5,0,3,9,1,0,0,3,3,1,0,48,11,0
Graduation,Together,40548.0,0,1,31,110.0,0.0,5,2,0,3,2,2,1,4,5,0,0,54,12,1
Graduation,Married,37716.0,0,1,4,97.0,1.0,41,6,2,41,2,4,1,3,7,0,0,71,10,0
PhD,Single,46757.0,0,1,71,777.0,30.0,163,0,51,122,6,4,4,7,9,0,0,61,12,0
Graduation,Married,24570.0,1,0,97,28.0,34.0,62,11,14,44,3,4,0,4,9,0,0,40,11,0
Graduation,Married,52845.0,1,0,7,384.0,25.0,292,130,41,64,3,8,8,6,6,0,0,51,11,1
Master,Single,46423.0,1,1,6,68.0,0.0,16,0,0,8,3,2,0,4,7,0,0,52,11,0
Graduation,Married,67716.0,0,1,8,530.0,81.0,217,62,9,56,4,7,4,13,5,0,0,64,11,1
2n Cycle,Married,96547.0,0,0,4,448.0,21.0,125,52,101,62,0,7,6,8,2,0,1,44,10,3
Master,Married,80950.0,0,0,44,525.0,81.0,112,219,147,63,1,6,7,9,2,0,0,63,11,1
Graduation,Divorced,64497.0,0,1,17,1170.0,48.0,320,42,32,192,5,11,4,9,8,0,1,70,12,1
Master,Single,46098.0,1,1,86,57.0,0.0,27,0,0,36,4,3,2,2,8,0,0,49,12,0
PhD,Single,27238.0,1,1,39,37.0,0.0,17,0,0,3,3,3,0,3,9,0,0,62,11,0
Graduation,Married,58025.0,0,1,81,270.0,31.0,88,11,48,22,3,3,2,10,4,0,0,45,11,0
Master,Single,68092.0,0,0,7,852.0,60.0,207,78,36,48,2,2,6,10,5,0,0,46,11,0
PhD,Single,71466.0,0,0,86,412.0,12.0,546,78,182,0,1,4,4,10,1,0,0,50,10,0
Master,Married,43815.0,1,0,53,14.0,10.0,29,4,7,15,1,2,0,3,6,0,0,42,11,0
Graduation,Together,70440.0,0,0,49,690.0,81.0,499,76,102,88,1,5,10,7,3,0,0,46,11,1
Graduation,Together,28587.0,1,0,42,22.0,4.0,17,12,10,13,3,2,0,4,6,0,0,46,10,0
Graduation,Married,73807.0,0,1,88,366.0,81.0,156,71,78,54,2,5,5,11,2,0,0,46,11,0
Graduation,Married,43057.0,0,1,30,213.0,2.0,44,0,2,5,4,4,2,5,5,0,0,49,11,0
2n Cycle,Together,7500.0,1,0,98,5.0,17.0,17,13,14,34,4,2,1,3,9,0,0,39,12,0
Basic,Single,14906.0,0,0,86,7.0,7.0,14,7,16,15,3,2,1,3,7,0,0,38,12,0
Graduation,Together,37235.0,1,0,68,20.0,2.0,9,4,6,20,1,1,1,2,4,0,0,40,10,0
Graduation,Married,72460.0,0,0,56,377.0,10.0,540,80,30,10,1,3,5,7,1,0,0,55,11,0
Master,Married,43783.0,1,0,22,327.0,9.0,125,25,4,139,6,7,1,8,7,0,0,46,10,1
PhD,Married,38443.0,1,1,58,32.0,0.0,5,0,0,1,2,1,0,3,7,0,0,56,10,0
Graduation,Married,53858.0,0,1,50,407.0,53.0,221,58,150,26,4,4,3,6,4,0,0,48,12,0
Graduation,Single,22507.0,0,0,67,68.0,0.0,226,51,157,68,3,10,2,4,9,0,0,70,12,0
PhD,Married,44155.0,1,1,24,22.0,1.0,9,0,0,14,1,1,1,2,4,0,0,67,10,0
Graduation,Single,85072.0,0,0,94,494.0,81.0,391,194,11,241,1,3,4,10,0,0,0,47,10,0
PhD,Married,82170.0,0,0,13,1023.0,81.0,651,49,55,37,1,5,6,7,2,0,0,46,11,0
Graduation,Married,7500.0,0,0,94,0.0,2.0,3,4,1,5,1,0,0,3,6,0,0,37,11,0
Graduation,Single,9255.0,1,0,91,9.0,0.0,7,2,0,4,1,1,1,2,8,0,0,35,11,0
Master,Married,38576.0,0,1,2,34.0,0.0,7,0,0,0,1,1,0,3,7,0,0,51,10,0
Graduation,Single,81246.0,0,0,87,398.0,81.0,537,61,156,37,1,4,5,7,1,0,0,60,11,2
2n Cycle,Divorced,41713.0,1,1,57,77.0,8.0,44,10,10,25,5,3,1,4,6,0,0,60,10,0
Graduation,Married,43586.0,0,1,26,99.0,2.0,11,4,0,16,3,3,0,4,8,0,0,44,12,0
PhD,Married,71322.0,0,1,57,753.0,43.0,226,69,10,204,2,8,5,13,4,0,0,59,11,0
Master,Together,39767.0,0,0,18,113.0,61.0,204,34,26,47,2,7,1,7,8,0,0,73,11,0
Master,Married,33562.0,1,2,33,21.0,12.0,12,0,3,3,3,2,0,4,4,0,0,61,10,0
Graduation,Single,79941.0,0,0,72,123.0,81.0,266,227,30,174,1,2,4,9,1,0,0,48,10,0
Graduation,Divorced,41638.0,0,1,68,315.0,0.0,31,4,0,91,4,5,5,3,8,0,0,60,11,1
2n Cycle,Married,62466.0,0,1,13,129.0,81.0,259,168,121,83,5,6,3,12,4,0,0,54,10,0
Graduation,Together,29672.0,1,1,6,9.0,1.0,3,0,4,8,1,0,0,3,6,0,0,59,11,0
Graduation,Married,38998.0,1,1,92,34.0,1.0,14,0,0,5,3,2,0,3,8,1,0,70,12,0
Graduation,Together,53863.0,0,1,4,399.0,4.0,30,6,4,30,3,7,1,7,7,0,0,69,10,1
Graduation,Married,54984.0,0,1,51,173.0,13.0,131,32,3,6,4,6,1,6,7,0,0,65,10,1
Master,Single,26877.0,0,0,74,101.0,13.0,76,20,18,40,2,3,1,6,6,0,0,55,11,0
Graduation,Single,64449.0,1,0,70,218.0,63.0,282,137,35,70,4,5,3,12,4,0,0,35,10,0
2n Cycle,Married,62905.0,0,1,68,166.0,75.0,96,119,107,59,3,7,2,8,4,0,0,60,11,0
Graduation,Divorced,67272.0,0,1,12,357.0,35.0,271,28,28,14,3,6,2,12,5,0,0,58,11,0
PhD,Married,36930.0,0,1,50,223.0,2.0,31,0,2,39,5,5,2,4,8,0,0,70,11,0
PhD,Married,51012.0,0,0,86,102.0,9.0,63,2,9,24,1,4,1,4,6,0,0,78,11,0
Graduation,Widow,58330.0,0,1,87,445.0,53.0,213,104,98,151,1,6,4,13,4,0,0,49,11,0
Graduation,Single,28567.0,1,0,57,11.0,3.0,22,2,2,6,2,2,0,3,6,0,0,42,11,0
Master,Divorced,10979.0,0,0,34,8.0,4.0,10,2,2,4,2,3,0,3,5,0,0,35,10,0
Graduation,Married,22574.0,2,1,28,25.0,0.0,8,2,0,2,2,2,0,3,7,0,0,57,11,0
2n Cycle,Single,51381.5,1,1,49,5.0,1.0,9,2,0,4,1,1,0,2,7,0,0,60,10,0
PhD,Married,56320.0,0,1,11,201.0,53.0,172,116,77,83,3,5,4,9,4,0,0,57,11,0
Graduation,Married,43140.0,0,1,68,134.0,8.0,76,6,0,11,1,4,1,5,6,0,0,67,11,0
Graduation,Single,80982.0,1,1,48,505.0,81.0,401,104,22,22,3,11,5,11,5,1,0,65,11,0
2n Cycle,Married,70932.0,0,1,57,200.0,81.0,100,46,185,185,2,6,2,12,3,0,0,52,10,0
PhD,Married,75032.0,0,1,74,952.0,12.0,180,47,12,12,2,5,4,9,3,0,0,65,11,0
Basic,Together,27190.0,1,0,13,1.0,6.0,7,0,1,3,1,1,0,2,8,0,1,51,11,1
PhD,Single,54880.0,1,0,57,308.0,81.0,137,102,45,118,2,6,2,11,5,0,0,46,11,0
Graduation,Single,79146.0,1,1,33,245.0,16.0,223,21,43,16,2,8,1,8,6,0,0,57,10,0
Master,Married,34109.0,0,1,39,9.0,1.0,5,2,1,4,1,0,0,3,4,0,0,53,11,0
Master,Married,61923.0,0,2,94,92.0,4.0,18,3,3,6,1,2,1,4,3,0,0,63,11,0
PhD,Single,69759.0,0,0,38,452.0,20.0,514,13,30,0,3,4,6,5,3,0,1,58,11,0
Graduation,Single,51381.5,1,1,45,7.0,0.0,8,2,0,1,1,1,0,2,7,0,0,67,10,0
PhD,Together,40451.0,0,2,54,35.0,0.0,4,0,0,10,1,1,1,2,5,0,0,67,10,1
PhD,Married,42403.0,1,0,18,22.0,1.0,11,0,5,3,1,1,0,3,8,0,0,53,11,0
PhD,Widow,78028.0,0,1,38,158.0,19.0,288,25,0,38,1,6,4,9,7,0,1,68,12,2
PhD,Married,59304.0,0,1,81,418.0,61.0,428,80,51,10,3,7,8,10,5,0,0,60,11,0
PhD,Divorced,69674.0,0,2,46,554.0,41.0,215,11,0,24,3,10,2,10,5,0,0,56,11,0
Master,Single,19485.0,2,0,80,6.0,0.0,4,0,0,0,1,1,0,2,7,0,0,38,11,0
Master,Divorced,10979.0,0,0,34,8.0,4.0,10,2,2,4,2,3,0,3,5,0,0,35,10,0
Graduation,Single,80872.0,0,0,60,483.0,72.0,567,94,12,108,1,4,4,10,1,0,0,73,10,0
Master,Together,29298.0,1,1,60,6.0,0.0,2,2,0,1,1,1,0,2,5,0,0,73,11,0
Basic,Together,13084.0,0,0,29,2.0,0.0,7,3,7,10,1,1,0,3,6,0,0,72,11,0
PhD,Widow,82032.0,0,0,54,332.0,81.0,377,149,125,57,0,4,6,7,1,0,0,76,10,0
Graduation,Together,64474.0,0,1,59,381.0,35.0,172,56,86,93,2,8,2,10,5,0,0,52,11,0
Graduation,Together,26290.0,1,1,49,15.0,8.0,16,11,5,22,4,2,0,4,6,0,0,52,11,0
PhD,Married,41145.0,1,1,20,9.0,0.0,3,0,0,1,1,0,0,3,3,0,0,74,10,0
Graduation,Divorced,35246.0,1,1,53,36.0,0.0,12,2,2,10,4,3,1,3,5,0,0,66,10,0
Master,Single,98777.0,0,0,23,1000.0,19.0,711,125,115,38,0,4,6,9,1,0,0,64,10,1
Graduation,Together,76081.0,0,0,85,292.0,30.0,415,63,33,200,1,4,5,4,2,0,0,62,10,1
Graduation,Married,50183.0,1,1,47,97.0,12.0,84,13,10,15,7,3,1,6,5,0,0,44,10,0
Master,Together,28839.0,1,1,86,24.0,0.0,7,0,0,1,2,2,0,3,5,0,0,68,10,0
Graduation,Together,86610.0,0,0,66,446.0,81.0,768,33,196,53,1,5,6,6,2,0,0,73,11,0
2n Cycle,Married,70829.0,1,1,87,141.0,70.0,106,72,19,23,2,4,2,8,3,0,0,44,11,0
Graduation,Together,62807.0,0,1,83,526.0,28.0,135,10,21,99,3,5,3,12,5,0,0,64,12,0
PhD,Married,80427.0,0,1,56,1149.0,71.0,449,69,71,26,1,11,8,8,5,0,0,49,12,0
Graduation,Married,82224.0,0,0,83,307.0,26.0,360,138,31,40,1,6,9,5,3,0,0,60,10,1
Graduation,Together,18227.0,1,0,21,1.0,2.0,7,4,3,11,1,0,1,2,8,0,0,37,12,0
Graduation,Together,34600.0,1,1,8,199.0,33.0,60,8,3,15,5,5,2,5,8,0,1,53,11,0
Graduation,Divorced,30992.0,1,0,83,17.0,0.0,14,7,3,2,1,1,0,3,7,0,0,48,11,0
Master,Married,31535.0,1,0,95,15.0,4.0,13,0,0,19,1,1,1,2,7,0,0,44,11,1
Master,Married,70777.0,0,1,80,554.0,35.0,113,0,7,78,3,5,3,12,3,0,0,56,10,0
Graduation,Together,53103.0,0,1,70,729.0,17.0,133,11,0,195,5,10,6,7,7,0,0,70,11,1
2n Cycle,Together,17117.0,1,0,96,12.0,23.0,38,30,18,7,4,3,1,3,9,0,0,46,11,0
PhD,Divorced,48948.0,0,0,53,437.0,8.0,206,160,49,42,2,7,10,5,6,0,1,81,11,1
PhD,Widow,50520.0,0,1,25,112.0,0.0,6,2,1,14,2,3,1,3,6,0,0,66,10,0
2n Cycle,Married,36145.0,1,0,13,56.0,4.0,76,17,1,18,4,4,1,3,9,0,1,39,11,1
Graduation,Together,34633.0,2,1,31,8.0,1.0,5,0,0,1,1,1,0,2,6,0,0,68,10,0
PhD,Single,33996.0,0,0,46,40.0,2.0,15,8,0,6,1,1,1,3,4,0,0,35,11,0
Graduation,Married,51148.0,1,1,38,235.0,6.0,45,8,9,12,4,5,1,6,6,0,0,51,11,0
Master,Married,58646.0,0,1,3,62.0,1.0,44,6,5,22,1,2,1,4,4,0,0,62,11,0
Master,Single,72309.0,0,0,64,960.0,0.0,883,50,38,0,1,5,6,8,3,0,1,48,11,1
Graduation,Single,83917.0,0,0,12,514.0,22.0,732,42,198,79,1,6,7,7,3,0,1,51,11,0
PhD,Divorced,47025.0,1,1,6,16.0,0.0,3,0,0,1,1,1,0,2,7,0,0,59,10,0
PhD,Together,46910.0,1,1,36,48.0,0.0,14,0,0,6,2,2,0,3,6,0,0,60,10,0
Graduation,Married,80124.0,0,0,47,483.0,81.0,398,205,84,241,1,3,7,8,1,0,0,61,10,1
PhD,Single,54998.0,0,1,3,154.0,22.0,202,39,30,8,5,4,2,9,4,0,1,68,11,0
Graduation,Married,41120.0,1,1,80,24.0,2.0,23,0,8,24,3,2,1,3,6,0,0,56,11,0
Master,Together,54603.0,1,1,85,145.0,13.0,46,17,2,4,6,4,2,4,7,0,0,68,11,0
Graduation,Together,65748.0,0,1,58,172.0,73.0,93,95,78,34,2,2,4,10,1,1,0,69,11,0
Graduation,Single,50664.0,1,1,64,313.0,8.0,104,6,4,126,9,8,1,6,9,0,0,65,11,0
Graduation,Married,67445.0,0,1,63,757.0,80.0,217,29,80,11,5,9,6,12,6,0,0,50,12,0
Graduation,Divorced,70044.0,0,1,46,1073.0,0.0,250,153,14,14,4,7,10,5,5,0,0,70,11,0
PhD,Married,53312.0,0,0,32,241.0,0.0,12,0,0,25,1,5,1,5,7,0,0,73,11,0
Graduation,Together,57957.0,0,1,24,290.0,59.0,177,77,5,29,7,4,6,8,3,1,0,65,11,0
Master,Married,47353.0,0,1,93,184.0,2.0,19,8,8,4,3,2,2,6,5,0,0,64,11,0
Graduation,Divorced,64587.0,1,1,49,66.0,0.0,16,0,6,20,2,1,1,4,3,0,0,70,10,0
Graduation,Together,47320.0,0,1,10,200.0,19.0,111,50,15,19,6,5,1,8,6,0,0,67,11,0
Graduation,Single,86429.0,0,0,10,464.0,28.0,873,29,18,37,0,7,4,7,2,0,1,63,11,1
2n Cycle,Single,38593.0,1,0,42,51.0,12.0,49,17,24,24,3,4,1,3,8,0,0,46,11,0
Graduation,Married,72905.0,0,0,52,407.0,81.0,445,181,165,203,1,3,7,9,1,0,0,66,10,1
Master,Married,34242.0,0,1,25,8.0,2.0,4,0,0,1,1,0,0,3,5,0,0,65,10,0
Graduation,Single,72228.0,0,0,87,631.0,28.0,491,30,14,56,1,6,7,8,3,0,0,72,12,0
Graduation,Together,73926.0,0,0,54,627.0,81.0,597,159,91,15,1,6,5,12,3,0,0,51,11,0
Graduation,Together,29672.0,1,1,6,9.0,1.0,3,0,4,8,1,0,0,3,6,0,0,59,11,0
Graduation,Married,34421.0,1,0,81,3.0,3.0,7,6,2,9,1,1,0,2,7,0,0,50,11,0
Graduation,Married,26228.0,1,0,50,2.0,6.0,4,3,1,9,1,1,0,2,8,0,0,51,11,0
Graduation,Single,68655.0,0,0,95,456.0,19.0,832,75,118,38,1,4,5,11,3,0,0,36,12,0
Graduation,Married,46734.0,0,1,40,110.0,5.0,137,26,23,29,2,6,1,5,7,0,0,70,12,0
Graduation,Together,42586.0,1,1,7,194.0,2.0,56,0,0,0,5,4,1,6,8,0,1,69,12,0
2n Cycle,Single,41658.0,1,1,30,8.0,4.0,12,15,4,29,2,1,1,2,4,0,0,49,12,0
Graduation,Together,26091.0,1,1,84,15.0,10.0,19,8,17,20,3,2,1,3,5,0,0,67,10,0
Graduation,Single,54803.0,0,1,65,404.0,0.0,92,28,27,142,2,6,2,9,4,0,0,55,12,0
Master,Single,63972.0,0,1,93,928.0,63.0,254,0,12,12,4,5,4,10,4,0,0,60,12,1
Graduation,Married,39356.0,1,1,21,15.0,0.0,2,0,0,6,1,1,0,2,6,0,0,48,10,1
2n Cycle,Single,85485.0,0,0,73,630.0,26.0,611,44,18,54,1,6,6,6,2,0,0,66,10,0
Master,Together,30560.0,1,0,6,9.0,1.0,5,4,5,7,1,1,0,3,7,0,0,48,11,0
PhD,Married,77610.0,0,1,70,1225.0,33.0,332,21,33,16,2,4,7,4,7,0,0,72,12,0
Master,Married,27450.0,0,0,57,37.0,12.0,23,8,11,52,1,2,1,3,7,0,0,73,11,0
2n Cycle,Single,31859.0,1,0,3,3.0,4.0,7,15,8,11,1,1,0,3,7,0,0,44,10,0
PhD,Married,48699.0,1,1,90,26.0,1.0,10,2,0,1,1,1,0,3,5,0,0,74,11,0
